"cocd","material","billT","qty","customer","profitctr","costctr","refdocno","inccc","crcy","inpclc","curr","account","postgdate","tc","intc"
"IN01","DT9560-QZ","F2",1,1113329,"ACP",,9521082918,1,"INR",1,"USD",41011000,1/4/2013,"INR",1.00
"IN01","DT9555-QZ","F2",1,1120313,"ACP",,9521083164,1,"INR",1,"USD",41011000,1/12/2013,"INR",1.00
"IN01","DT9555-QZ","F2",1,1113231,"ACP",,9521083358,1,"INR",1,"USD",41011000,1/18/2013,"INR",1.00
"IN01","DT9555-QZ","F2",1,1113231,"ACP",,9521083361,1,"INR",1,"USD",41011000,1/18/2013,"INR",1.00
"IN01","DT9603-QZ","F2",1,1113146,"ACP",,9521083448,1,"INR",1,"USD",41011000,1/19/2013,"INR",1.00
"IN01","DT9567-QZ","F2",1,1113431,"ACP",,9521083792,1,"INR",1,"USD",41011000,1/25/2013,"INR",1.00
"IN01","BDA1000-XE","F2",1,1126197,"ACS",,9521082887,1,"INR",1,"USD",41011000,1/3/2013,"INR",1.00
"IN01","A7073-TW","F2",1,1163251,"ACS",,9521082933,1,"INR",1,"USD",41011000,1/5/2013,"INR",1.00
"IN01","A7073-TW","F2",1,1113012,"ACS",,9521082963,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","X56035-QZ","F2",1,1121651,"ACS",,9521082983,1,"INR",1,"USD",41011000,1/7/2013,"INR",1.00
"IN01","A7073-TW","F2",1,1144548,"ACS",,9521083004,1,"INR",1,"USD",41011000,1/8/2013,"INR",1.00
"IN01","A7073-TW","F2",1,1144556,"ACS",,9521083005,1,"INR",1,"USD",41011000,1/8/2013,"INR",1.00
"IN01","A7073-TW","F2",1,1144547,"ACS",,9521083006,1,"INR",1,"USD",41011000,1/8/2013,"INR",1.00
"IN01","A7073-TW","F2",1,1144555,"ACS",,9521083007,1,"INR",1,"USD",41011000,1/8/2013,"INR",1.00
"IN01","PEH01-JP","F2",1,1144541,"ACS",,9521083225,1,"INR",1,"USD",41011000,1/15/2013,"INR",1.00
"IN01","A7073-TW","F2",1,1113001,"ACS",,9521083235,1,"INR",1,"USD",41011000,1/15/2013,"INR",1.00
"IN01","75-505-CA","F2",1,1145516,"ACS",,9521083384,1,"INR",1,"USD",41011000,1/18/2013,"INR",1.00
