CUSTOMER_NAME,INVOICE_TO_ADDRESS1,INVOICE_TO_ADDRESS2,INVOICE_TO_ADDRESS3,INVOICE_TO_ADDRESS4,CITY,LAT,LON,State/Region,Zip/Postal Code,Country,CUSTOMER_NUMBER,ORDER_NUMBER,ORDER_BOOKED_DATE,ORDER_TYPE,LINE_TYPE,LINE_NUMBER,ORDERED_ITEM,ORDERED_QUANTITY,LINE_CREATION_DATE,UNIT_SELLING_PRICE,TOTAL_AMOUNT,SF_OPPORTUNITY#,ORDER_BOOKED_YEAR,,
Intel Corp.,Ana Kalyuzhny,863 Omaha Beach Rd,,,Brussels,50.8411,4.3564, , B-1110, BE,4453,13083,2/23/12,Project GSA (Mixed),Services Line - ABC Inc.,1,SVC-1000,1,2/23/12,"8,682","8,682",0006511,2012,,
Intel Corp.,DFAS Columbus Center,West Entitlement Operation,PO Box 182381,,Brussels,50.8411,4.3564, , B-1110, BE,4453,12944,9/28/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,PENDING,0,9/28/11,"46,500",0,0005853,2011,,
Intel Corp.,DFAS Columbus Center,West Entitlement Operation,PO Box 182381,,Brussels,50.8411,4.3564, , B-1110, BE,4453,12944,9/28/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,2,SDSK-EPSRHDP3-06,1,9/28/11,"46,500","46,500",0005853,2011,,
366 MDS,366 MDS,1190 Dsert Ave. Bldg 1320,TMO/MrDay,,Brussels,50.8411,4.3564, , B-1110, BE,4663,13152,4/24/12,GSA (Mixed) - ABC Inc.,Product Line -  ABC Inc.,1,SDSA-654-01,2,4/24/12,96.19,192.38,0006666,2012,,
366 MDS,366 MDS,1190 Dsert Ave. Bldg 1320,TMO/MrDay,,Brussels,50.8411,4.3564, , B-1110, BE,4663,13152,4/24/12,GSA (Mixed) - ABC Inc.,Services Line - ABC Inc.,2,CHARGES,1,4/24/12,13.03,13.03,0006666,2012,,
IBM,DFAS-COLUMBUS CENTER,WEST ENTITLEMENT OPERATIONS,DFAS-CO-JW PO BOX 182381,,Brussels,50.8411,4.3564, , B-1110, BE,1280,90052,12/8/12,RMA Orders - ABC Inc.,Replacement,2,SR-650-101,1,12/8/12,"1,601","1,601",,2012,,
IBM,DFAS-COLUMBUS CENTER,WEST ENTITLEMENT OPERATIONS,DFAS-CO-JW PO BOX 182381,,Brussels,50.8411,4.3564, , B-1110, BE,1280,90052,12/8/12,RMA Orders - ABC Inc.,Return - ABC Inc.,1,SR-650-101,1,12/8/12,"1,601","-1,601",,2012,,
IBM,DFAS-COLUMBUS CENTER,WEST ENTITLEMENT OPERATIONS,DFAS-CO-JW PO BOX 182381,,Brussels,50.8411,4.3564, , B-1110, BE,1280,90079,2/15/12,RMA Orders - ABC Inc.,Replacement,2,SR-650-101,1,2/15/12,"1,601","1,601",,2012,,
IBM,DFAS-COLUMBUS CENTER,WEST ENTITLEMENT OPERATIONS,DFAS-CO-JW PO BOX 182381,,Brussels,50.8411,4.3564, , B-1110, BE,1280,90079,2/15/12,RMA Orders - ABC Inc.,Return - ABC Inc.,1,SR-650-101,1,2/15/12,"1,601","-1,601",,2012,,
IBM,DFAS-COLUMBUS CENTER,WEST ENTITLEMENT OPERATIONS,DFAS-CO-JW PO BOX 182381,,Brussels,50.8411,4.3564, , B-1110, BE,1280,90086,3/29/12,RMA Orders - ABC Inc.,Product Line -  ABC Inc.,2,SR-650-101,0,3/29/12,"1,601",0,,2012,,
IBM,DFAS-COLUMBUS CENTER,WEST ENTITLEMENT OPERATIONS,DFAS-CO-JW PO BOX 182381,,Brussels,50.8411,4.3564, , B-1110, BE,1280,90086,3/29/12,RMA Orders - ABC Inc.,Return - ABC Inc.,1,SR-650-101,0,3/29/12,"1,601",0,,2012,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12601,1/6/11,Tier1 Supplier (Mixed),Product Line -  ABC Inc.,2,ST-654-031,110,1/6/11,70,"7,700",0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12601,1/6/11,Tier1 Supplier (Mixed),Product Line -  ABC Inc.,3,SCW-800-US,1,1/6/11,"1,440","1,440",0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12601,1/6/11,Tier1 Supplier (Mixed),Product Line -  ABC Inc.,4,STA-1032,1,1/6/11,15,15,0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12601,1/6/11,Tier1 Supplier (Mixed),Return - ABC Inc.,6,ST-654-031,110,1/6/11,70,"-7,700",0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12601,1/6/11,Tier1 Supplier (Mixed),Return - ABC Inc.,7,SCW-800-US,1,1/6/11,"1,440","-1,440",0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12601,1/6/11,Tier1 Supplier (Mixed),Return - ABC Inc.,8,STA-1032,1,1/6/11,15,-15,0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12601,1/6/11,Tier1 Supplier (Mixed),Return - ABC Inc.,9,CHARGES,1,1/6/11,169.10,-169.10,0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12601,1/6/11,Tier1 Supplier (Mixed),Services Line - ABC Inc.,1,MAINT-SFTWR,0,1/6/11,316.80,0,0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12601,1/6/11,Tier1 Supplier (Mixed),Services Line - ABC Inc.,5,CHARGES,1,1/6/11,169.10,169.10,0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12610,1/12/11,Project Tier1 Supplier (Mixed),Product Line -  ABC Inc.,2,ST-654-031,110,1/12/11,70,"7,700",0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12610,1/12/11,Project Tier1 Supplier (Mixed),Product Line -  ABC Inc.,3,SCW-800-US,1,1/12/11,"1,440","1,440",0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12610,1/12/11,Project Tier1 Supplier (Mixed),Product Line -  ABC Inc.,4,STA-1032,1,1/12/11,15,15,0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12610,1/12/11,Project Tier1 Supplier (Mixed),Return - ABC Inc.,6,CHARGES,1,1/12/11,169.10,-169.10,0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12610,1/12/11,Project Tier1 Supplier (Mixed),Services Line - ABC Inc.,1,MAINT-SFTWR,1,1/12/11,316.80,316.80,0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12610,1/12/11,Project Tier1 Supplier (Mixed),Services Line - ABC Inc.,5,CHARGES,1,1/12/11,169.10,169.10,0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12610,1/12/11,Project Tier1 Supplier (Mixed),Services Line - ABC Inc.,7,SVC-1000,1,1/12/11,169.10,169.10,0005412,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12672,3/10/11,Tier1 Supplier (Mixed),Product Line -  ABC Inc.,1,ST-654-031,25,3/10/11,70,"1,750",0005675,2011,,
Computer Associates,Computer Associates,2224 South Miller Park Way,Attn: Mark Hoth,,Brussels,50.8411,4.3564, , B-1110, BE,4113,12908,9/1/11,Tier1 Supplier (Mixed),Product Line -  ABC Inc.,1,ST-654-031,26,9/1/11,70,"1,820",0006207,2011,,
DELL Corp.,DELL Corp.,700 E. Roth Road Bldg. 549,Sharpe Army Depot,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10666,2/23/11,Software Contracts(Mixed)-ABC Inc,Product Line -  ABC Inc.,1,SDSA-654-01,3,2/23/11,80,240,,2011,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10110,11/15/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,250,11/15/12,70,"17,500",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10116,11/21/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,500,11/21/12,70,"35,000",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10116,11/21/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,2,BAT-1125,24,11/21/12,7,168,,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10141,12/29/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,STA-1030,3,12/29/12,179,537,,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10149,1/9/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,250,1/9/12,70,"17,500",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10149,1/9/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,2,BAT-1125,250,1/9/12,7,"1,750",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10172,2/16/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,250,2/16/12,70,"17,500",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10172,2/16/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,2,BAT-1125,250,2/16/12,7,"1,750",,2012,,
DELL Corp.,DELL Corp.,Accounts Payable,PO BOX 660261,,Brussels,50.8411,4.3564, , B-1110, BE,1220,10226,3/31/12,Software Contracts - ABC Inc.,Product Line -  ABC Inc.,1,ST-654-001,200,3/31/12,70,"14,000",,2012,,
