Branch Name,QuarterYr,Cust Sat
Nagpur,2012Q1,2.2
Nagpur,2012Q2,3.3
Nagpur,2012Q3,3.2
Nagpur,2012Q4,4
Nagpur,2013Q1,4
Nagpur,2013Q2,4
Wardha,2013Q1,3.2
Wardha,2013Q2,3.3
Wardha,2012Q1,3.5
Wardha,2012Q2,3.5
Wardha,2012Q3,4
Wardha,2012Q4,4
Gadchiroli,2013Q1,4.4
Gadchiroli,2013Q2,4.2
Gadchiroli,2012Q1,3.5
Gadchiroli,2012Q2,3.5
Gadchiroli,2012Q3,3.5
Gadchiroli,2012Q4,3.3
Chandrapur,2013Q1,3.8
Chandrapur,2013Q2,4
Chandrapur,2012Q1,4
Chandrapur,2012Q2,3.6
Chandrapur,2012Q3,4.2
Chandrapur,2012Q4,3.8
Bhandara,2013Q1,3.4
Bhandara,2013Q2,3.3
Bhandara,2012Q1,3.4
Bhandara,2012Q2,3.4
Bhandara,2012Q3,3.2
Bhandara,2012Q4,3.2
Yavatmal,2013Q1,4
Yavatmal,2013Q2,4
Yavatmal,2012Q1,4
Yavatmal,2012Q2,4.3
Yavatmal,2012Q3,4
Yavatmal,2012Q4,4.2
