BranchName,Date,ActualDeposit,Quarter
Nagpur,1/1/13,2.5,2013Q1
Nagpur,1/2/13,2.9,2013Q1
Nagpur,1/3/13,0.2,2013Q1
Nagpur,1/4/13,0.6,2013Q1
Nagpur,1/5/13,2.1,2013Q1
Nagpur,1/6/13,0.2,2013Q1 
Nagpur,1/7/13,1,2013Q1
Nagpur,1/8/13,3,2013Q1
Nagpur,1/9/13,1.6,2013Q1
Nagpur,1/10/13,0.9,2013Q1
Nagpur,1/11/13,1.1,2013Q1
Nagpur,1/12/13,3,2013Q1
Nagpur,1/13/13,1.2,2013Q1
Nagpur,1/14/13,2.6,2013Q1
Nagpur,1/15/13,1.9,2013Q1
Nagpur,2/3/13,1.5,2013Q1
Nagpur,2/5/13,1.7,2013Q1
Nagpur,2/7/13,1.8,2013Q1
Nagpur,2/9/13,2.1,2013Q1
Nagpur,2/11/13,2.7,2013Q1
Nagpur,2/13/13,0.6,2013Q1
Nagpur,2/15/13,2.6,2013Q1
Nagpur,2/17/13,0.4,2013Q1
Nagpur,2/19/13,2.4,2013Q1
Nagpur,2/21/13,0.9,2013Q1
Nagpur,2/23/13,1.2,2013Q1
Nagpur,2/24/13,3,2013Q1
Nagpur,2/25/13,1.2,2013Q1
Nagpur,2/26/13,1,2013Q1
Nagpur,2/27/13,2.4,2013Q1
Nagpur,3/5/13,1.9,2013Q1
Nagpur,3/6/13,1.8,2013Q1
Nagpur,3/7/13,1,2013Q1
Nagpur,3/8/13,0.4,2013Q1
Nagpur,3/9/13,0.5,2013Q1
Nagpur,3/10/13,0.7,2013Q1
Nagpur,3/19/13,0.4,2013Q1
Nagpur,3/20/13,2.5,2013Q1
Nagpur,3/21/13,0.6,2013Q1
Nagpur,3/22/13,1.9,2013Q1
Nagpur,3/23/13,1.8,2013Q1
Nagpur,3/24/13,1.5,2013Q1
Nagpur,3/25/13,2,2013Q1
Nagpur,3/26/13,2,2013Q1
Nagpur,3/31/13,1,2013Q1
Nagpur,10/2/12,0.4,2012Q4
Nagpur,10/3/12,0.5,2012Q4
Nagpur,10/4/12,0.7,2012Q4
Nagpur,10/5/12,0.7,2012Q4
Nagpur,10/6/12,1.3,2012Q4
Nagpur,10/7/12,2.5,2012Q4
Nagpur,10/8/12,2,2012Q4
Nagpur,10/9/12,0.7,2012Q4
Nagpur,10/10/12,2,2012Q4
Nagpur,10/11/12,2.2,2012Q4
Nagpur,10/12/12,0.6,2012Q4
Nagpur,10/13/12,0.5,2012Q4
Nagpur,10/14/12,1.3,2012Q4
Nagpur,10/15/12,3,2012Q4
Nagpur,10/16/12,1.2,2012Q4
Nagpur,11/1/12,1.4,2012Q4
Nagpur,11/3/12,1.3,2012Q4
Nagpur,11/5/12,2.1,2012Q4
Nagpur,11/7/12,0.8,2012Q4
Nagpur,11/9/12,2.6,2012Q4
Nagpur,11/11/12,2.4,2012Q4
Nagpur,11/13/12,2.7,2012Q4
Nagpur,11/15/12,0.7,2012Q4
Nagpur,11/17/12,0.1,2012Q4
Nagpur,11/19/12,1.7,2012Q4
Nagpur,11/21/12,2,2012Q4
Nagpur,11/23/12,1.2,2012Q4
Nagpur,11/25/12,1.2,2012Q4
Nagpur,11/27/12,0.3,2012Q4
Nagpur,11/29/12,1.1,2012Q4
Nagpur,12/14/12,1.2,2012Q4
Nagpur,12/15/12,3,2012Q4
Nagpur,12/16/12,2.1,2012Q4
Nagpur,12/17/12,1.7,2012Q4
Nagpur,12/18/12,0.1,2012Q4
Nagpur,12/19/12,0.5,2012Q4
Nagpur,12/20/12,0.6,2012Q4
Nagpur,12/21/12,0.1,2012Q4
Nagpur,12/22/12,2.3,2012Q4
Nagpur,12/23/12,2.6,2012Q4
Nagpur,12/24/12,2.7,2012Q4
Nagpur,12/25/12,0.8,2012Q4
Nagpur,12/26/12,1.8,2012Q4
Nagpur,12/27/12,2.4,2012Q4
Nagpur,12/28/12,2.8,2012Q4
Nagpur,7/10/12,3,2012Q3
Nagpur,7/11/12,2.8,2012Q3
Nagpur,7/12/12,2.3,2012Q3
Nagpur,7/13/12,1.3,2012Q3
Nagpur,7/14/12,0.3,2012Q3
Nagpur,7/15/12,2.2,2012Q3
Nagpur,7/16/12,0.9,2012Q3
Nagpur,7/17/12,1.1,2012Q3
Nagpur,7/18/12,1.7,2012Q3
Nagpur,7/19/12,0.4,2012Q3
Nagpur,7/20/12,3,2012Q3
Nagpur,7/21/12,2.9,2012Q3
Nagpur,7/22/12,2.7,2012Q3
Nagpur,7/23/12,0.4,2012Q3
Nagpur,7/24/12,1.3,2012Q3
Nagpur,8/6/12,1,2012Q3
Nagpur,8/8/12,1.6,2012Q3
Nagpur,8/10/12,1.9,2012Q3
Nagpur,8/12/12,1,2012Q3
Nagpur,8/14/12,2.7,2012Q3
Nagpur,8/16/12,1.5,2012Q3
Nagpur,8/18/12,1.7,2012Q3
Nagpur,8/20/12,0.7,2012Q3
Nagpur,8/21/12,2.1,2012Q3
Nagpur,8/22/12,1.2,2012Q3
